,state,zipcode,total_income
352,AL,35124,336249.0
353,AL,35124,314342.0
354,AL,35125,22591.0
355,AL,35125,46173.0
356,AL,35125,43109.0
357,AL,35125,36721.0
358,AL,35125,48143.0
359,AL,35125,19880.0
360,AL,35126,40328.0
361,AL,35126,100134.0
362,AL,35126,105973.0
363,AL,35126,91455.0
364,AL,35126,157255.0
365,AL,35126,35874.0
366,AL,35127,19513.0
367,AL,35127,51162.0
368,AL,35127,50497.0
369,AL,35127,35505.0
370,AL,35127,60576.0
371,AL,35127,15530.0001
372,AL,35128,17674.0
373,AL,35128,37472.0
374,AL,35128,43298.0
375,AL,35128,40569.0
376,AL,35128,97369.0
377,AL,35128,65928.0
378,AL,35130,5802.0
379,AL,35130,12719.0
380,AL,35130,12177.0
381,AL,35130,12303.0
382,AL,35130,16386.0
384,AL,35131,7909.0
385,AL,35131,15425.0
386,AL,35131,16213.0
387,AL,35131,12754.0
388,AL,35131,18170.0
390,AL,35133,7121.0
391,AL,35133,15081.0
392,AL,35133,17882.0
393,AL,35133,17892.0
394,AL,35133,29600.0
396,AL,35135,3691.0
397,AL,35135,7413.0
398,AL,35135,8095.0
399,AL,35135,8689.0
400,AL,35135,22554.0
402,AL,35136,2950.0
403,AL,35136,6217.0
404,AL,35136,6842.0
405,AL,35136,6638.0001
406,AL,35136,13237.0
408,AL,35143,5750.0
409,AL,35143,11373.0
410,AL,35143,11145.0
411,AL,35143,12408.0
412,AL,35143,24174.0
413,AL,35143,25651.0001
414,AL,35146,15802.0
415,AL,35146,39616.0
416,AL,35146,47817.0
417,AL,35146,51912.0
418,AL,35146,129618.0
419,AL,35146,65238.0
420,AL,35147,7608.0
421,AL,35147,17951.0
422,AL,35147,26650.0
423,AL,35147,25857.0
424,AL,35147,61643.0
425,AL,35147,61247.0
426,AL,35148,5978.0
427,AL,35148,11047.0
428,AL,35148,9522.0
429,AL,35148,8987.0
430,AL,35148,17241.0
432,AL,35150,40920.0
433,AL,35150,73782.0
434,AL,35150,56087.0
435,AL,35150,46542.0
436,AL,35150,69140.0
437,AL,35150,31559.0
438,AL,35151,14113.0
439,AL,35151,27417.0
440,AL,35151,32231.0
441,AL,35151,26432.0
442,AL,35151,48090.0
443,AL,35151,13740.0001
444,AL,35160,56880.0
445,AL,35160,104895.0
446,AL,35160,84338.0
447,AL,35160,58129.0
448,AL,35160,84628.0
449,AL,35160,49647.0
450,AL,35171,5546.0
451,AL,35171,13923.0
452,AL,35171,12607.0
453,AL,35171,13767.0
454,AL,35171,26329.0
455,AL,35171,6323.0001
456,AL,35172,5321.0
457,AL,35172,11974.0
458,AL,35172,11884.0
459,AL,35172,8654.0
460,AL,35172,15621.0
462,AL,35173,37724.0
463,AL,35173,87559.0
464,AL,35173,118825.0
465,AL,35173,137195.0
466,AL,35173,480567.0
467,AL,35173,380141.0
468,AL,35175,8572.0
469,AL,35175,20166.0
470,AL,35175,21507.0
471,AL,35175,18351.0
472,AL,35175,44675.0
473,AL,35175,22832.0001
474,AL,35176,1706.0
475,AL,35176,3658.0
476,AL,35176,3270.0001
477,AL,35176,2846.0
478,AL,35176,5670.0001
480,AL,35178,7563.0
481,AL,35178,15729.0
482,AL,35178,14683.0
483,AL,35178,11790.0
484,AL,35178,21006.0
485,AL,35178,6489.0001
486,AL,35179,18052.0
487,AL,35179,37759.0
488,AL,35179,38696.0
489,AL,35179,32690.0
490,AL,35179,57311.0
491,AL,35179,34281.0
492,AL,35180,20803.0
493,AL,35180,51203.0
494,AL,35180,62794.0
495,AL,35180,61934.0
496,AL,35180,120566.0
497,AL,35180,39369.0
498,AL,35183,1266.0001
499,AL,35183,2964.0001
500,AL,35183,2287.0001
501,AL,35183,2561.0
502,AL,35183,4600.0001
504,AL,35184,10033.0
505,AL,35184,25339.0
506,AL,35184,21175.0
507,AL,35184,19294.0
508,AL,35184,25119.0
509,AL,35184,5379.0001
510,AL,35186,7972.0
511,AL,35186,16544.0
512,AL,35186,19964.0
513,AL,35186,19575.0
514,AL,35186,59884.0
515,AL,35186,37264.0
516,AL,35188,4574.0
517,AL,35188,9864.0
518,AL,35188,12254.0
519,AL,35188,13444.0
520,AL,35188,28624.0
522,AL,35203,6702.0
523,AL,35203,10851.0
524,AL,35203,12637.0
525,AL,35203,9578.0
526,AL,35203,23524.0
527,AL,35203,125644.0
528,AL,35204,29374.0
529,AL,35204,33926.0
530,AL,35204,15374.0
531,AL,35204,7395.0
532,AL,35204,6248.0001
534,AL,35205,39333.0
535,AL,35205,92673.0
536,AL,35205,65498.0
537,AL,35205,36828.0
538,AL,35205,72845.0
539,AL,35205,203984.0
540,AL,35206,48080.0
541,AL,35206,71589.0
542,AL,35206,41419.0
543,AL,35206,25333.0
544,AL,35206,25445.0
545,AL,35206,7629.0001
546,AL,35207,26617.0
547,AL,35207,33615.0
548,AL,35207,15317.0
549,AL,35207,7538.0
550,AL,35207,7301.0001
552,AL,35208,43942.0
553,AL,35208,63966.0
554,AL,35208,31267.0
555,AL,35208,13025.0
556,AL,35208,12610.0001
558,AL,35209,43196.0
559,AL,35209,95971.0
560,AL,35209,87641.0
561,AL,35209,73857.0
562,AL,35209,273282.0
563,AL,35209,721729.0
564,AL,35210,28763.0
565,AL,35210,69712.0
566,AL,35210,73929.0
567,AL,35210,55863.0
568,AL,35210,118592.0
569,AL,35210,142683.0
570,AL,35211,76235.0
571,AL,35211,108609.0
572,AL,35211,63554.0
573,AL,35211,32424.0
574,AL,35211,41826.0
575,AL,35211,16156.0001
576,AL,35212,33738.0
577,AL,35212,39786.0
578,AL,35212,28508.0
579,AL,35212,19033.0
580,AL,35212,41086.0
581,AL,35212,24144.0
582,AL,35213,15190.0
583,AL,35213,37597.0
584,AL,35213,53562.0
585,AL,35213,46290.0
586,AL,35213,179112.0
587,AL,35213,1461974.0
588,AL,35214,52118.0
589,AL,35214,101505.0
590,AL,35214,72265.0
591,AL,35214,41607.0
592,AL,35214,55484.0
593,AL,35214,7046.0001
594,AL,35215,141180.0
595,AL,35215,234903.0
596,AL,35215,145251.0
597,AL,35215,82506.0
598,AL,35215,99704.0
599,AL,35215,18066.0001
600,AL,35216,61013.0
601,AL,35216,143906.0
602,AL,35216,132827.0
603,AL,35216,110501.0
604,AL,35216,365505.0
605,AL,35216,837709.0
606,AL,35217,37200.0
607,AL,35217,55481.0
608,AL,35217,30019.0
609,AL,35217,19012.0
610,AL,35217,24368.0
611,AL,35217,8288.0001
612,AL,35218,20543.0
613,AL,35218,26846.0
614,AL,35218,11743.0
615,AL,35218,4229.0001
616,AL,35218,3371.0001
618,AL,35221,13654.0
619,AL,35221,18945.0
620,AL,35221,9534.0
621,AL,35221,6711.0001
624,AL,35222,14876.0
625,AL,35222,32835.0
626,AL,35222,34648.0
627,AL,35222,31759.0
628,AL,35222,99279.0
