state,zip_code,total_income
AL,35222,14876
AL,35222,32835
AL,35222,34648
AL,35222,31759
AL,35222,99279
AL,35222,198427
AL,35223,9625
AL,35223,19361
AL,35223,28633
AL,35223,29685
AL,35223,174244
AL,35223,1717051
AL,35224,15154
AL,35224,24103
AL,35224,14241
AL,35224,6849
AL,35224,8187
AL,35226,41282
AL,35226,104629
AL,35226,142004
AL,35226,168623
AL,35226,639794
AL,35226,809753
AL,35228,32136
AL,35228,47498
AL,35228,26849
AL,35228,10250
AL,35228,10004
AL,35233,3424
AL,35233,7498
AL,35233,12912
AL,35233,7214
AL,35233,14679
AL,35233,40140
AL,35234,15156
AL,35234,19694
AL,35234,7432
AL,35234,4124
AL,35234,5327
AL,35235,49818
AL,35235,114915
AL,35235,93027
AL,35235,57607
AL,35235,80708
AL,35235,20774
AL,35242,69795
AL,35242,164976
AL,35242,191867
AL,35242,202238
AL,35242,839495
AL,35242,2412399
AL,35243,25138
AL,35243,68705
AL,35243,93743
AL,35243,83548
AL,35243,275957
AL,35243,1061656
AL,35244,47788
AL,35244,116260
AL,35244,138189
AL,35244,150920
AL,35244,580949
AL,35244,858746
AL,35401,79353
AL,35401,96548
AL,35401,46553
AL,35401,26859
AL,35401,49901
AL,35401,72042
AL,35404,52072
AL,35404,85575
AL,35404,57019
AL,35404,40685
AL,35404,58205
AL,35404,60045
AL,35405,102509
AL,35405,203227
AL,35405,168483
AL,35405,127080
AL,35405,252828
AL,35405,127279
AL,35406,18723
AL,35406,40290
AL,35406,49153
AL,35406,58306
AL,35406,243968
AL,35406,629794
AL,35441,2211
AL,35441,5205
AL,35441,3787
AL,35441,3665
AL,35441,8638
AL,35442,14266
AL,35442,19466
AL,35442,10854
AL,35442,6413
AL,35442,11660
AL,35442,24022
AL,35443,5450
AL,35443,7144
AL,35443,2757
AL,35443,1892
AL,35443,4075
AL,35444,7009
AL,35444,15486
AL,35444,17429
AL,35444,15695
AL,35444,23136
AL,35444,10738
AL,35446,4115
AL,35446,8995
AL,35446,7341
AL,35446,6556
AL,35446,15147
AL,35447,7944
AL,35447,12201
AL,35447,8148
AL,35447,7052
AL,35447,18409
AL,35452,6825
AL,35452,15061
AL,35452,15976
AL,35452,16121
AL,35452,28468
AL,35452,9438
AL,35453,23792
AL,35453,49884
AL,35453,50015
AL,35453,41947
AL,35453,69439
AL,35453,29013
AL,35456,9483
AL,35456,19339
AL,35456,15516
AL,35456,14186
AL,35456,23838
AL,35456,8974
AL,35458,1068
AL,35458,2438
AL,35458,2768
AL,35458,2847
AL,35458,2927
AL,35459,1877
AL,35459,3998
AL,35459,3889
AL,35459,2681
AL,35460,1922
AL,35460,2311
AL,35460,3171
AL,35461,3473
AL,35461,6809
AL,35461,6550
AL,35461,5347
AL,35461,11535
AL,35462,13866
AL,35462,18803
AL,35462,9946
AL,35462,7122
AL,35462,16766
AL,35463,4064
AL,35463,8049
AL,35463,7909
AL,35463,6714
AL,35463,18107
AL,35464,1382
AL,35464,1564
AL,35464,2169
AL,35466,9808
AL,35466,21892
AL,35466,22114
AL,35466,19921
AL,35466,39185
AL,35466,19724
AL,35469,851
AL,35469,2245
AL,35469,2429
AL,35470,11700
AL,35470,15784
AL,35470,11943
AL,35470,10714
AL,35470,21154
AL,35470,11714
AL,35473,29361
AL,35473,69201
AL,35473,73181
AL,35473,72503
AL,35473,148141
AL,35473,62165
AL,35474,15488
AL,35474,30643
AL,35474,28657
AL,35474,24752
AL,35474,46710
AL,35474,15154
AL,35475,22090
AL,35475,51038
AL,35475,66108
AL,35475,82450
AL,35475,236842
AL,35475,169388
AL,35476,21483
AL,35476,38278
AL,35476,29094
AL,35476,16488
AL,35476,22558
AL,35476,26297
AL,35480,3075
AL,35480,7005
AL,35480,8351
AL,35480,7863
AL,35480,17956
AL,35481,7836
AL,35481,13372
AL,35481,10367
AL,35481,8753
AL,35481,15837
AL,35490,6546
AL,35490,19365
AL,35490,21884
AL,35490,21905
AL,35490,40961
AL,35501,21105
AL,35501,37043
AL,35501,27886
AL,35501,23070
AL,35501,41483
AL,35501,20443
AL,35503,16451
AL,35503,31001
AL,35503,31011
AL,35503,26670
AL,35503,53990
AL,35503,19752
AL,35504,20716
AL,35504,47938
AL,35504,46928
AL,35504,51620
AL,35504,114621
AL,35504,78407
AL,35540,4638
AL,35540,9704
AL,35540,10405
AL,35540,8758
AL,35540,13073
AL,35541,6269
AL,35541,12401
AL,35541,11240
AL,35541,11186
AL,35541,28105
AL,35541,23074
AL,35542,2213
AL,35542,4664
AL,35542,3606
AL,35542,4016
AL,35542,6244
AL,35543,1809
AL,35543,4320
AL,35543,3562
AL,35543,2218
AL,35543,5228
AL,35544,1081
AL,35544,2704
AL,35544,2518
AL,35544,3616
AL,35546,7129
AL,35546,15065
AL,35546,15941
AL,35546,13555
AL,35546,20732
AL,35546,6231
AL,35548,3333
AL,35548,6409
AL,35548,4528
AL,35548,3078
AL,35548,4679
AL,35549,8425
AL,35549,13782
AL,35549,11516
AL,35549,9959
AL,35549,13590
AL,35550,10153
AL,35550,17385
AL,35550,16727
AL,35550,14636
AL,35550,22372
AL,35550,16578
AL,35552,1743
AL,35552,3771
AL,35552,4107
AL,35552,2766
AL,35552,5365
AL,35553,9021
AL,35553,17606
AL,35553,15147
AL,35553,10355
AL,35553,17091
AL,35553,16321
AL,35554,1891
AL,35554,4764
AL,35554,3405
AL,35554,3881
AL,35554,7846
AL,35555,19188
AL,35555,33956
AL,35555,33275
AL,35555,27924
AL,35555,43777
AL,35555,13308
AL,35563,8177
AL,35563,15685
AL,35563,13514
AL,35563,12466
AL,35563,20409
AL,35563,7610
AL,35564,4310
AL,35564,10200
AL,35564,8003
AL,35564,4425
AL,35564,8026
AL,35565,26905
AL,35565,47831
AL,35565,42873
AL,35565,29693
AL,35565,43199
AL,35565,30371
AL,35570,21910
AL,35570,39240
AL,35570,35522
AL,35570,28001
AL,35570,40407
AL,35570,19900
AL,35571,1674
AL,35571,3799
AL,35571,3644
AL,35571,4899
AL,35572,1473
AL,35572,4414
AL,35572,2803
AL,35572,3655
AL,35572,10158
AL,35574,2282
AL,35574,4938
AL,35574,7224
AL,35574,5504
AL,35574,9796
AL,35575,1749
AL,35575,3391
AL,35575,4135
AL,35575,3220
AL,35575,3525
AL,35576,5342
AL,35576,11973
AL,35576,11005
AL,35576,12068
AL,35576,21339
AL,35578,8723
AL,35578,18801
AL,35578,17115
AL,35578,16475
AL,35578,21789
AL,35579,5535
AL,35579,11254
AL,35579,11500
AL,35579,10222
AL,35579,16336
AL,35580,7310
AL,35580,14244
AL,35580,13611
AL,35580,12306
AL,35580,26108
AL,35581,11146
AL,35581,19719
AL,35581,17446
AL,35581,13837
AL,35581,21120
AL,35582,7363
AL,35582,19384
AL,35582,14570
AL,35582,13634
AL,35582,15941
AL,35582,23393
AL,35585,3110
AL,35585,5501
AL,35585,6146
AL,35585,4794
AL,35585,11819
AL,35586,7990
AL,35586,16358
AL,35586,13911
AL,35586,15002
AL,35586,20349
AL,35587,1643
AL,35587,3020
AL,35587,2827
AL,35587,3427
AL,35587,5143
AL,35592,8995
AL,35592,15634
AL,35592,17786
AL,35592,13606
AL,35592,25147
AL,35593,3235
AL,35593,7170
AL,35593,7382
AL,35593,5675
AL,35593,7320
AL,35594,14495
AL,35594,27592
AL,35594,27378
AL,35594,22980
AL,35594,42061
AL,35594,22131
AL,35601,77226
AL,35601,146882
AL,35601,104827
AL,35601,72429
AL,35601,127132
AL,35601,171521
AL,35603,59742
AL,35603,126542
AL,35603,125264
AL,35603,128471
AL,35603,336487
AL,35603,252672
AL,35610,3046
AL,35610,6872
AL,35610,7695
AL,35610,7064
AL,35610,14259
AL,35611,55597
AL,35611,110548
AL,35611,87988
AL,35611,67285
AL,35611,142629
AL,35611,89468
AL,35613,32115
AL,35613,69639
AL,35613,94125
AL,35613,115910
AL,35613,340555
AL,35613,271658
AL,35614,15357
AL,35614,31002
AL,35614,30345
AL,35614,26666
AL,35614,39228
AL,35614,14349
AL,35616,6823
AL,35616,12810
AL,35616,13441
AL,35616,12009
AL,35616,23747
AL,35618,4349
AL,35618,8401
AL,35618,7124
AL,35618,4215
AL,35618,8213
AL,35619,9878
AL,35619,20820
AL,35619,20539
AL,35619,19315
AL,35619,28101
AL,35619,10353
AL,35620,17158
AL,35620,36377
AL,35620,41316
AL,35620,35644
AL,35620,69677
AL,35620,19728
AL,35621,5618
AL,35621,11030
AL,35621,11496
AL,35621,11715
AL,35621,27187
AL,35622,14320
AL,35622,28181
AL,35622,26716
AL,35622,21893
AL,35622,32316
AL,35622,8305
AL,35630,79212
AL,35630,117535
AL,35630,92205
AL,35630,67796
AL,35630,139229
AL,35630,109344
AL,35633,38758
AL,35633,76525
AL,35633,83605
AL,35633,84272
AL,35633,143318
AL,35633,68488
AL,35634,19843
AL,35634,35226
AL,35634,40941
AL,35634,41889
AL,35634,99132
AL,35634,158318
AL,35640,46926
AL,35640,95636
AL,35640,102367
AL,35640,106285
AL,35640,222175
AL,35640,138100
AL,35643,6456
AL,35643,14634
AL,35643,12443
AL,35643,8868
AL,35643,15321
AL,35645,22619
AL,35645,45020
AL,35645,56331
AL,35645,64028
AL,35645,128934
AL,35645,94291
AL,35646,9625
AL,35646,18310
AL,35646,15307
AL,35646,12202
AL,35646,23907
AL,35646,13519
AL,35647,2184
AL,35647,4438
AL,35647,4457
AL,35647,3847
AL,35647,9476
AL,35648,7350
AL,35648,14865
AL,35648,16296
AL,35648,13818
AL,35648,31863
AL,35650,26718
AL,35650,49718
AL,35650,52754
AL,35650,50859
AL,35650,84274
AL,35650,23707
AL,35651,2055
AL,35651,4114
AL,35651,4482
AL,35651,3711
AL,35651,6417
AL,35652,16133
AL,35652,29432
AL,35652,32993
AL,35652,33890
AL,35652,66082
AL,35652,40163
AL,35653,22875
AL,35653,47502
AL,35653,32426
AL,35653,24913
AL,35653,44469
AL,35653,28612
AL,35654,16076
AL,35654,32333
AL,35654,23872
AL,35654,24400
AL,35654,32419
AL,35654,8173
AL,35660,23602
AL,35660,39721
AL,35660,28518
AL,35660,22011
AL,35660,32864
AL,35660,16061
AL,35661,34346
AL,35661,72244
AL,35661,75994
AL,35661,70841
AL,35661,152879
AL,35661,114785
AL,35670,14784
AL,35670,28628
AL,35670,31971
AL,35670,26443
AL,35670,61893
AL,35670,23348
AL,35671,4940
AL,35671,9870
AL,35671,6363
AL,35671,7944
AL,35671,13327
AL,35671,7925
AL,35672,11503
AL,35672,22873
AL,35672,21854
AL,35672,21279
AL,35672,37767
AL,35672,8217
AL,35673,14872
AL,35673,31916
AL,35673,32064
AL,35673,31466
AL,35673,62510
AL,35673,16644
